M26020 AAA35137.1 S000006025 YPL104W
U17243 AAB67343.1 S000004289 YLR298C
U17243 AAB67333.1 S000004278 YLR287C-A
U17243 AAB67338.1 S000004283 YLR292C
U17243 AAB67342.1 S000004288 YLR297W
U17243 AAB67340.1 S000004286 YLR295C
U17243 AAB67353.1 S000004293 YLR302C
U17243 AAB67352.1 S000004285 YLR294C
U17243 AAB67341.1 S000004287 YLR296W
U37712 AAA79708.1 S000003560 YJL023C
Z74788 CAA99051.1 S000005405 YOL045W
Z36101 CAA85196.1 S000000437 YBR233W
Z75051 CAA99346.1 S000005669 YOR143C
Z28273 CAA82125.1 S000001756 YKR048C
Z49808 CAA89909.1 S000004788 YMR176W
Z49808 CAA89918.1 S000004797 YMR185W
Z49808 CAA89912.1 S000004791 YMR179W
Z49808 CAA89905.1 S000004783 YMR172W
Z49808 CAA89920.1 S000004799 YMR187C
Z49808 CAA89913.1 S000004792 YMR180C
Z49808 CAA89911.1 S000004790 YMR178W
Z49808 CAA89921.1 S000004800 YMR188C
Z49808 CAA89915.1 S000004794 YMR182C
Z49808 CAA89917.1 S000004796 YMR184W
Z49808 CAA89914.1 S000004793 YMR181C
Z49808 CAA89908.1 S000004787 YMR175W
Z49808 CAA89907.1 S000004786 YMR174C
M22040 AAA34689.1 S000003041 YGL073W
Z74119 CAA98636.1 S000002228 YDL070W
Z74119 CAA98635.1 S000002229 YDL071C
Z73522 CAA97872.1 S000006086 YPL165C
Z73522 CAA97871.1 S000006087 YPL166W
U54564 AAB37570.1 S000003177 YGL209W
Z72725 CAA96915.1 S000003171 YGL203C
Z28118 CAA81960.1 S000001602 YKL119C
Z28118 CAA81959.1 S000001601 YKL118W
AJ586508 CAE52459.1 S000000077 YAR029W
Z68195 CAA92364.1 S000002621 YDR213W
Z68195 CAA92362.1 S000002619 YDR211W
Z68195 CAA92363.1 S000002620 YDR212W
Z68195 CAA92365.1 S000002622 YDR214W
Z72974 CAA97215.1 S000003421 YGR189C
Z49425 CAA89445.1 S000003685 YJL149W
Z49425 CAA89444.1 S000003686 YJL150W
Z73578 CAA97937.1 S000006143 YPL222W
Y07777 CAA69083.1 S000003493 YGR261C
Y07777 CAA69086.1 S000003496 YGR264C
Y07777 CAA69082.1 S000003492 YGR260W
Y07777 CAA69085.1 S000003495 YGR263C
Y07777 CAA69084.1 S000003494 YGR262C
U14000 AAF06816.1 S000000302 YBR098W
Z74210 CAA98735.1 S000002321 YDL162C
X85807 CAA59814.1 S000003389 YGR157W
X85807 CAA59808.1 S000003382 YGR150C
X85807 CAA59803.1 S000003377 YGR145W
X85807 CAA59812.1 S000003387 YGR155W
X85807 CAA59807.1 S000003381 YGR149W
X85807 CAA59813.1 S000003388 YGR156W
X85807 CAA59805.1 S000003379 YGR147C
X85807 CAA59815.1 S000003390 YGR158C
X85807 CAA59810.1 S000003385 YGR153W
X85807 CAA59804.1 S000003378 YGR146C
Z71601 CAA96256.1 S000005269 YNL325C
X89016 CAA61422.1 S000005032 YNL088W
X89016 CAA61425.1 S000005029 YNL085W
X89016 CAA61427.1 S000005027 YNL083W
X89016 CAA61426.1 S000005028 YNL084C
X89016 CAA61424.1 S000005030 YNL086W
Z28029 CAA81865.1 S000001512 YKL029C
Z72739 CAA96933.1 S000003184 YGL216W
Z72895 CAA97118.1 S000003342 YGR110W
X77291 CAA54503.1 S000000119 YBL023C
X77291 CAA54502.1 S000000120 YBL024W
X77291 CAA54496.1 S000000128 YBL032W
X77291 CAA54498.1 S000000125 YBL029W
X77291 CAA54497.1 S000000127 YBL031W
X77291 CAA54500.1 S000000121 YBL025W
X77291 CAA54505.1 S000000122 YBL026W
X77291 CAA54499.1 S000000124 YBL028C
Z73538 CAA97891.1 S000006102 YPL181W
Z49478 CAA89497.1 S000003739 YJL203W
Z28154 CAA81995.1 S000001637 YKL154W
Y08687 CAA69944.1 S000003269 YGR037C
DQ115392 AAZ22498.1 S000001391 YIL129C
DQ115392 AAZ22501.1 S000001388 YIL126W
DQ115392 AAZ22499.1 S000001390 YIL128W
DQ115392 AAZ22502.1 S000001387 YIL125W
DQ115392 AAZ22496.1 S000001393 YIL131C
DQ115392 AAZ22493.1 S000001396 YIL134W
DQ115392 AAZ22503.1 S000001386 YIL124W
DQ115392 AAZ22495.1 S000001394 YIL132C
DQ115392 AAZ22500.1 S000001389 YIL127C
DQ115392 AAZ22492.1 S000028556 YIL134C-A
Z71482 CAA96106.1 S000005150 YNL206C
Z71482 CAA96108.1 S000005148 YNL204C
Z74846 CAA99120.1 S000005464 YOL104C
Z72565 CAA96744.1 S000003011 YGL043W
Z49383 CAA89403.1 S000003643 YJL107C
Z49383 CAA89402.1 S000003644 YJL108C
L11012 AAA65967.1 S000000054 YAL058W
X66470 CAA47100.1 S000000054 YAL058W
U03102 AAC48916.1 S000005743 YOR217W
Z46861 CAA86920.1 S000001293 YIL031W
Z46861 CAA86904.1 S000001309 YIL047C
Z46861 CAA86913.1 S000001300 YIL038C
Z46861 CAA86914.1 S000001299 YIL037C
Z46861 CAA86905.1 S000001308 YIL046W
Z46861 CAA86915.1 S000001298 YIL036W
Z46861 CAA86906.1 S000001307 YIL045W
Z46861 CAA86912.1 S000001301 YIL039W
Z46861 CAA86918.1 S000001295 YIL033C
Z46861 CAA86909.1 S000001304 YIL042C
Z46861 CAA86910.1 S000001303 YIL041W
Z46861 CAA86907.1 S000001306 YIL044C
Z46861 CAA86917.1 S000001296 YIL034C
Z46861 CAA86911.1 S000001302 YIL040W
Z46861 CAA86919.1 S000001294 YIL032C
Z74090 CAA98600.1 S000002200 YDL042C
L01795 AAA16891.1 S000000024 YAL026C
Z46660 CAA86647.1 S000004556 YML091C
Z46660 CAA86645.1 S000004558 YML093W
Z46660 CAA86638.1 S000004565 YML099C
Z46660 CAA86650.1 S000004553 YML088W
Z46660 CAA86652.1 S000004551 YML086C
Z46660 CAA86641.1 S000004562 YML096W
Z46660 CAA86640.1 S000004563 YML097C
Z46660 CAA86655.1 S000004548 YML083C
Z46660 CAA86651.1 S000004552 YML087C
Z46660 CAA86646.1 S000004557 YML092C
Z46660 CAA86642.1 S000004560 YML095C
Z46660 CAA86639.1 S000004564 YML098W
Z46660 CAA86648.1 S000004555 YML090W
Z46660 CAA86649.1 S000004554 YML089C
Z46660 CAA86654.1 S000004549 YML084W
Z49410 CAA89429.1 S000003671 YJL135W
Z73053 CAA97298.1 S000003500 YGR268C
Z73053 CAA97299.1 S000003501 YGR269W
U18813 AAB64605.1 S000000871 YER069W
U18813 AAB64604.1 S000000870 YER068W
U18813 AAB64590.1 S000000856 YER054C
U18813 AAB64600.1 S000000866 YER064C
U18813 AAB64597.1 S000000863 YER061C
U18813 AAB64595.1 S000000861 YER059W
U18813 AAB64591.1 S000000857 YER055C
U18813 AAB64599.1 S000000865 YER063W
U18813 AAB64602.1 S000000868 YER066W
U18813 AAB64611.1 S000002959 YER066C-A
U18813 AAB64593.1 S000000859 YER057C
U18813 AAB64608.1 S000000874 YER072W
U18813 AAB64607.1 S000000873 YER071C
U18813 AAB64594.1 S000000860 YER058W
X97560 CAA66162.1 S000003938 YLL015W
X97560 CAA66170.1 S000003944 YLL021W
X97560 CAA66161.1 - YLL016W
X97560 CAA66171.1 S000003942 YLL019C
X97560 CAA66172.1 S000003941 YLL018C
X97560 CAA66169.1 S000003945 YLL022C
X97560 CAA66168.1 S000003946 YLL023C
X97560 CAA66163.1 S000003937 YLL014W
X97560 CAA66173.1 - YLL017W
Z35832 CAA84892.1 S000000167 YBL071C
X56909 CAA40227.1 S000000631 YCR035C
X56909 CAA40228.1 S000000632 YCR036W
Z49595 CAA89624.1 S000003856 YJR095W
Z71475 CAA96097.1 S000005143 YNL199C
Z71475 CAA96098.1 S000005142 YNL198C
Z71311 CAA95900.1 S000004980 YNL035C
Z74961 CAA99246.1 S000005580 YOR054C
X70379 CAA49840.1 S000004897 YMR284W
Z71312 CAA95901.1 S000004981 YNL036W
Z35835 CAA84894.1 S000000170 YBL074C
Z35888 CAA84961.1 S000000223 YBR019C
U65920 AAB07454.1 S000000337 YBR133C
X75891 CAA53494.1 S000000340 YBR136W
X75891 CAA53492.1 S000000337 YBR133C
X75891 CAA53490.1 S000000335 YBR131W
X75891 CAA53491.1 S000000336 YBR132C
X75891 CAA53496.1 S000000342 YBR138C
X75891 CAA53486.1 S000000331 YBR127C
X75891 CAA53485.1 S000000330 YBR126C
X75891 CAA53489.1 S000000334 YBR130C
X75891 CAA53487.1 S000000332 YBR128C
X75891 CAA53488.1 S000000333 YBR129C
X75891 CAA53495.1 S000000341 YBR137W
X75891 CAA53493.1 S000000339 YBR135W
L27698 AAA35140.1 S000002596 YDR188W
U16814 AAB00683.1 S000000809 YER007W
Z75251 CAA99668.1 S000005870 YOR343C
AJ586506 CAE52449.1 S000000077 YAR029W
Z74235 CAA98764.1 S000002345 YDL186W
Z73207 CAA97559.1 S000004025 YLR035C
M83539 AAA34573.1 S000002459 YDR052C
Z75138 CAA99450.1 S000005756 YOR230W
Z74864 CAA99141.1 S000005482 YOL122C
L22529 AAA21023.1 S000004048 YLR058C
X05730 CAA29197.1 S000004157 YLR167W
M96648 AAA68909.1 S000005978 YPL057C
Z71461 CAA96079.1 S000005128 YNL184C
U19104 AAB67281.1 S000004371 YLR379W
U72498 AAB17392.1 S000000891 YER089C
X69425 CAA49201.1 S000002314 YDL155W
M26944 AAA34860.1 S000004818 YMR205C
Z46902 CAA87002.1 - YIR043C
Z46902 CAA87000.1 S000001480 YIR041W
Z46902 CAA86999.1 S000001479 YIR040C
U00028 AAB68452.1 S000001226 YHR183W
Z74055 CAA98563.1 S000002165 YDL007W
Z73633 CAA98014.1 S000006198 YPL277C
J01323 AAA88713.1 S000001217 YHR174W
J01323 AAA88713.1 S000003486 YGR254W
J01323 AAA88713.1 S000005920 YOR393W
J01323 AAA88713.1 S000006202 YPL281C
J01323 AAA88713.1 S000004942 YMR323W
Z49327 CAA89343.1 S000003588 YJL052W
Z49327 CAA89343.1 S000003769 YJR009C
X00782 CAA25359.1 S000005284 YNR001C
S73876 AAB31995.1 S000004539 YML074C
M95912 AAA34753.1 S000006255 YPR051W
M95912 AAA34754.1 S000006256 YPR052C
X80836 CAA56806.1 S000004912 YMR297W
X80836 CAA56799.1 S000004903 YMR290C
X80836 CAA56804.1 S000004910 YMR295C
X06830 CAA29986.1 S000000225 YBR021W
Z75212 CAA99622.1 S000005831 YOR304W
Z73535 CAA97886.1 S000006100 YPL179W
Z38060 CAA86170.1 S000001314 YIL052C
Z38060 CAA86154.1 S000001331 YIL069C
Z38060 CAA86166.1 S000001319 YIL057C
Z38060 CAA86163.1 S000001322 YIL060W
Z38060 CAA86164.1 S000001321 YIL059C
L23521 AAA92869.1 S000005536 YOR010C
Z71345 CAA95943.1 S000005013 YNL069C
Z74203 CAA98729.1 S000002314 YDL155W
Z74185 CAA98710.1 S000002296 YDL137W
Z74185 CAA98710.1 S000002351 YDL192W
U65683 AAB06618.1 S000006353 YPR149W
Z49648 CAA89681.1 S000003909 YJR148W
X62319 CAA44195.1 S000006323 YPR119W
Z74779 CAA99037.1 S000005397 YOL037C
Z74779 CAA99039.1 S000005395 YOL035C
X95465 CAA64735.1 S000005494 YOL134C
X95465 CAA64737.1 S000005493 YOL133W
Z49536 CAA89564.1 S000003798 YJR037W
X82775 CAA58016.1 S000003429 YGR197C
Z72626 CAA96811.1 S000003072 YGL104C
D13319 BAA02576.1 S000006027 YPL106C
D13319 BAA02576.1 S000000373 YBR169C
Z72741 CAA96934.1 S000003187 YGL219C
Z72741 CAA96935.1 S000003186 YGL218W
Z71320 CAA95911.1 S000004989 YNL044W
Z71320 CAA95910.1 S000004988 YNL043C
J03724 AAA34781.1 S000000288 YBR084W
Z49660 CAA89693.1 S000003921 YJR160C
X70986 CAA50315.1 S000003103 YGL135W
X70986 CAA50315.1 S000006141 YPL220W
L36890 AAA67530.1 S000007283 Q0275
L36890 AAA67530.1 S000007283 Q0275
L04669 AAA35055.1 S000003306 YGR074W
Z73521 CAA97870.1 S000006204 YPL283C
X66425 CAA47054.1 S000000050 YAL054C
Z75010 CAA99299.1 S000005628 YOR102W
X00725 CAA25312.1 S000004976 YNL031C
X00725 CAA25312.1 S000000214 YBR010W
X00725 CAA25313.1 S000004975 YNL030W
X00725 CAA25313.1 S000000213 YBR009C
Z75217 CAA99630.1 S000005837 YOR310C
Z75217 CAA99629.1 S000005836 YOR309C
Z74239 CAA98768.1 S000002350 YDL191W
X63853 CAA45335.1 S000000572 YCL067C
X63853 CAA45335.1 S000000635 YCR039C
X63853 CAA45336.1 S000000571 YCL066W
X63853 CAA45336.1 S000000636 YCR040W
Z73635 CAA98016.1 S000006200 YPL279C
Z49408 CAA89428.1 S000003669 YJL133W
Z49345 CAA89362.1 S000003606 YJL070C
Z75110 CAA99419.1 S000005730 YOR204W
Z74371 CAA98894.1 S000002482 YDR075W
L28723 AAA35134.1 S000004364 YLR372W
M15667 AAA34586.1 S000000322 YBR118W
M15667 AAA34586.1 S000006284 YPR080W
X51751 CAA36040.1 S000000858 YER056C
Z49545 CAA89573.1 S000003806 YJR045C
AX074161 CAC28456.1 S000005763 YOR237W
AX074161 CAC28456.1 S000006066 YPL145C
Z49273 CAA89269.1 S000004727 YMR120C
Z49273 CAA89270.1 S000004728 YMR121C
U62402 AAB57774.1 S000004018 YLR028C
U19027 AAB67405.1 S000004227 YLR237W
U19027 AAB67413.1 S000004215 YLR225C
U19027 AAB67416.1 S000004219 YLR229C
U19027 AAB67421.1 S000004222 YLR232W
Z74926 CAA99208.1 S000005544 YOR018W
M62648 AAA35178.1 S000003441 YGR209C
Z75289 CAA99713.1 S000005908 YOR381W
U61764 AAC49492.1 S000002736 YDR328C
Z72850 CAA97067.1 S000003297 YGR065C
Z28148 CAA81989.1 S000001631 YKL148C
Z47814 CAA87804.1 S000002432 YDR025W
X02324 CAA26184.1 S000005000 YNL055C
X02324 CAA26184.1 S000001376 YIL114C
Z71381 CAA95981.1 S000000816 YER014W
X66057 CAA46853.1 S000002319 YDL160C
M16126 AAA34530.1 S000000627 YCR031C
S73336 AAB31954.1 S000004784 YMR173W
U12980 AAC04971.1 S000000059 YAL063C
U12980 AAC04981.2 S000000048 YAL051W
U12980 AAC04980.1 S000000049 YAL053W
U12980 AAC04979.1 S000000050 YAL054C
U12980 AAC04968.1 S000000062 YAL067C
U12980 AAC04993.1 S000000036 YAL038W
U12980 AAC04972.1 S000000058 YAL062W
U12980 AAC04973.1 S000000057 YAL061W
U12980 AAC04974.1 S000000056 YAL060W
U12980 AAC04995.1 S000000034 YAL036C
U12980 AAC04975.1 S000000055 YAL059W
U12980 AAC05012.1 S000002138 YAL042C-A
U12980 AAC05013.1 S000002137 YAL034C-B
U12980 AAC05011.1 S000002139 YAL056C-A
U12980 AAC04986.1 S000000043 YAL045C
M17789 AAA34988.1 S000003563 YJL026W
X12560 CAA31073.1 S000001248 YHR205W
D00529 BAA00415.1 S000004332 YLR340W
M23368 AAA35017.1 S000002910 YDR502C
X70069 CAA49674.1 S000001664 YKL181W
X03534 CAA27237.1 S000002976 YGL008C
M68547 AAA34623.1 S000004071 YLR081W
X63501 CAA45073.1 S000002309 YDL150W
X12927 CAA31394.1 S000003947 YLL024C
X12927 CAA31394.1 S000000004 YAL005C
X12927 CAA31394.1 S000000905 YER103W
M62389 AAA35019.1 S000003340 YGR108W
X56235 CAA39692.1 S000003808 YJR047C
X56235 CAA39692.1 S000000760 YEL034W
X01694 CAA25841.1 S000000183 YBL087C
Z49821 CAA89978.1 S000005859 YOR332W
X65554 CAA46523.1 S000000867 YER065C
Z73272 CAA97665.1 S000004091 YLR101C
X77765 CAA54805.1 S000006402 YPR198W
L24961 AAA65606.1 S000006402 YPR198W
X70279 CAA49765.1 S000004160 YLR170C
S78624 AAB21260.1 S000000630 YCR034W
X63068 CAA44790.1 S000003708 YJL172W
M81698 AAA34507.1 S000005324 YNR041C
M34387 AAA34736.1 S000003380 YGR148C
M34387 AAA34736.1 S000002999 YGL031C
M80657 AAA34726.1 S000006363 YPR159W
J04421 AAA83387.1 S000005957 YPL036W
U43608 AAB49320.1 S000005317 YNR034W
J03889 AAA34843.1 S000003030 YGL062W
X69158 CAA48910.1 S000001955 YFL010W-A
D90352 BAA14366.1 S000002905 YDR497C
M21813 AAA34589.1 S000006158 YPL237W
Z72780 CAA96978.1 S000003227 YGL258W
U17247 AAB67355.1 S000004299 YLR308W
U17247 AAB67356.1 S000004298 YLR307W
M62815 AAA34848.1 S000000548 YCL043C
Z49519 CAA89544.1 S000003781 YJR020W
Z71595 CAA96249.1 S000005263 YNL319W
Z48613 CAA88521.1 S000004608 YMR006C
Z48613 CAA88523.1 S000004610 YMR008C
Z48613 CAA88528.1 S000004613 YMR011W
Z74083 CAA98594.1 S000002192 YDL034W
Z72982 CAA97224.1 S000003429 YGR197C
Z49284 CAA89299.1 S000003546 YJL009W
M84758 AAA34548.1 S000004543 YML078W
Z75189 CAA99508.1 S000005808 YOR282W
Z49259 CAA89229.1 S000004688 YMR083W
Z49259 CAA89225.1 S000004684 YMR079W
Z49259 CAA89230.1 S000004689 YMR084W
X71416 CAA50548.1 S000001686 YKL203C
V00684 CAA24055.1 S000007279 Q0160
X70435 CAA49893.1 S000006324 YPR120C
Z74893 CAA99172.1 S000005511 YOL151W
Z74893 CAA99173.1 S000005510 YOL150C
Z28091 CAA81929.1 S000001574 YKL091C
Z28278 CAA82131.1 S000001761 YKR053C
U30384 AAA74093.1 S000006333 YPR129W
Z75078 CAA99377.1 S000005696 YOR170W
U18922 AAB64693.1 S000000968 YER166W
U18922 AAB64706.1 S000000981 YER179W
U18922 AAB64704.1 S000000979 YER177W
U18922 AAB64716.1 S000000991 YER189W
U18922 AAB64716.1 S000000801 YEL075C
Z75301 CAA99725.1 S000005920 YOR393W
Z71626 CAA96288.1 S000005294 YNR011C
Z71294 CAA95880.1 S000004963 YNL018C
Z71294 CAA95880.1 S000004979 YNL034W
Z74077 CAA98588.1 S000002187 YDL029W
Z28264 CAA82113.1 S000001747 YKR039W
Z72848 CAA97066.1 S000003296 YGR064W
Z72848 CAA97065.1 S000003295 YGR063C
X56836 CAA40166.1 S000001025 YHL033C
X56836 CAA40166.1 S000003968 YLL045C
X14400 CAA32573.1 S000000036 YAL038W
Z28286 CAA82140.1 S000001769 YKR061W
D83166 BAA11826.1 S000000760 YEL034W
D83166 BAA11826.1 S000003808 YJR047C
Z73078 CAA97326.1 S000003525 YGR293C
Z73078 CAA97327.1 S000003526 YGR294W
Z73078 CAA97327.1 S000003230 YGL261C
Z73028 CAA97272.1 S000003475 YGR243W
Z34288 CAA84052.1 S000003606 YJL070C
Z34288 CAA84057.1 S000003602 YJL066C
Z34288 CAA84059.1 S000003601 YJL065C
Z34288 CAA84058.1 S000003600 YJL064W
Z34288 CAA84056.1 S000003603 YJL067W
Z72688 CAA96877.1 S000003134 YGL166W
Z72688 CAA96878.1 S000003133 YGL165C
Z28126 CAA81967.1 S000001609 YKL126W
U22382 AAB67528.1 S000004441 YLR449W
U22382 AAB67529.1 S000004440 YLR448W
U22382 AAB67536.1 S000004436 YLR444C
X02635 CAA26482.1 S000005481 YOL121C
Z71681 CAA96348.1 S000005349 YNR066C
L15328 AAA34986.1 S000001561 YKL078W
V01341 CAA24634.1 S000002414 YDR007W
D90376 BAA14384.1 S000005376 YOL016C
Z26878 CAA81521.1 S000001649 YKL166C
Z26878 CAA81517.1 S000001653 YKL170W
Z26878 CAA81518.1 S000001652 YKL169C
Z71682 CAA96349.1 S000005350 YNR067C
U41293 AAC49462.1 S000005490 YOL130W
Z75229 CAA99641.1 S000005848 YOR321W
AF005090 AAB61670.1 S000001561 YKL078W
Z75253 CAA99673.1 S000005872 YOR345C
Z28006 CAA81839.1 S000001489 YKL006W
U28372 AAB64787.1 S000002759 YDR351W
U28372 AAB64793.1 S000002766 YDR358W
U28372 AAB64789.1 S000002761 YDR353W
U28372 AAB64798.1 S000002763 YDR355C
X74069 CAA52199.1 S000005214 YNL270C
U86134 AAB47428.1 S000005559 YOR033C
Z71305 CAA95891.1 S000004974 YNL029C
Z28224 CAA82069.1 S000001707 YKL224C
Z74296 CAA98828.1 S000002407 YDL248W
NC_001136 NP_010834.1 S000002953 YDR545W
NC_001136 NP_010225.1 S000002216 YDL058W
NC_001136 NP_010378.1 S000002500 YDR093W
NC_001136 NP_010694.1 S000002814 YDR406W
NC_001136 NP_010294.1 S000002418 YDR011W
NC_001136 NP_010795.1 S000002915 YDR507C
NC_001136 NP_010324.1 S000002446 YDR039C
NC_001136 NP_010323.1 S000002446 YDR039C
NC_001136 NP_010325.1 S000002446 YDR039C
NC_001136 NP_010323.1 S000002445 YDR038C
NC_001136 NP_010324.1 S000002445 YDR038C
NC_001136 NP_010325.1 S000002445 YDR038C
NC_001136 NP_010325.1 S000002447 YDR040C
NC_001136 NP_010324.1 S000002447 YDR040C
NC_001136 NP_010323.1 S000002447 YDR040C
NC_001136 NP_010407.1 S000002529 YDR122W
NC_001136 NP_010697.1 S000002817 YDR409W
NC_001136 NP_010087.1 S000002353 YDL194W
NC_001136 NP_010638.1 S000002759 YDR351W
NC_001136 NP_010673.1 S000002793 YDR385W
NC_001136 NP_010537.1 S000002659 YDR251W
NC_001136 NP_010188.1 S000002253 YDL095W
NC_001136 NP_010544.1 S000002666 YDR258C
NC_001136 NP_010550.1 S000002672 YDR264C
NC_001136 NP_010143.1 S000002297 YDL138W
NC_001136 NP_010284.1 S000002408 YDR001C
NC_001136 NP_010190.1 S000002251 YDL093W
NC_001136 NP_010724.1 S000002844 YDR436W
NC_001136 NP_010245.2 S000002197 YDL039C
NC_001136 NP_010392.1 S000002514 YDR107C
NC_001136 NP_010796.1 S000002916 YDR508C
NC_001136 NP_010052.1 S000002388 YDL229W
NC_001136 NP_010203.1 S000002238 YDL080C
NC_001136 NP_010034.1 S000002406 YDL247W
NC_001136 NP_010628.1 S000002749 YDR341C
NC_001136 NP_010331.1 S000002453 YDR046C
NC_001136 NP_010785.1 S000002905 YDR497C
NC_001136 NP_010629.1 S000002750 YDR342C
NC_001136 NP_010630.1 S000002750 YDR342C
NC_001136 NP_010630.1 S000002751 YDR343C
NC_001136 NP_010629.1 S000002751 YDR343C
NC_001136 NP_010632.1 S000002753 YDR345C
NC_001136 NP_010036.1 S000002404 YDL245C
NC_001136 NP_010645.1 S000002766 YDR358W
NC_001136 NP_010198.1 S000002243 YDL085W
NC_001136 NP_010103.1 S000002337 YDL178W
NC_001136 NP_010292.1 S000002416 YDR009W
NC_001136 NP_010542.1 S000002664 YDR256C
NC_001136 NP_010396.1 S000002518 YDR111C
NC_001136 NP_010121.1 S000002319 YDL160C
NC_001136 NP_010260.1 S000002182 YDL024C
NC_001136 NP_010248.1 S000002194 YDL036C
NC_001136 NP_010533.1 S000002655 YDR247W
NC_001136 NP_010120.1 S000002320 YDL161W
NC_001136 NP_010410.1 S000002532 YDR125C
NC_001136 NP_010598.1 S000002720 YDR312W
NC_001136 NP_010340.1 S000002462 YDR055W
NC_001136 NP_010151.1 S000002289 YDL131W
NC_001136 NP_010277.1 S000002165 YDL007W
NC_001136 NP_010563.1 S000002685 YDR277C
NC_001136 NP_010255.1 S000002187 YDL029W
NC_001136 NP_010549.1 S000002671 YDR263C
NC_001136 NP_010099.1 S000002341 YDL182W
NC_001136 NP_010217.1 S000002224 YDL066W
NC_001136 NP_010586.1 S000002708 YDR300C
NC_001136 NP_010126.1 S000002314 YDL155W
NC_001136 NP_010131.1 S000002309 YDL150W
NC_001136 NP_010508.1 S000002630 YDR222W
NC_001136 NP_010304.1 S000002428 YDR021W
NC_001136 NP_010262.1 S000002180 YDL022W
NC_001136 NP_010033.1 S000002407 YDL248W
NC_001136 NP_010093.1 S000002347 YDL188C
NC_001136 NP_010320.1 S000002442 YDR035W
NC_001136 NP_010147.1 S000002292 YDL134C
NC_001136 NP_010295.1 S000002419 YDR012W
NC_001136 NP_010035.1 S000002405 YDL246C
NC_001136 NP_010106.1 S000002334 YDL175C
NC_001136 NP_010037.1 S000002403 YDL244W
NC_001136 NP_010038.1 S000002402 YDL243C
NC_001136 NP_010247.1 S000002195 YDL037C
NC_001136 NP_010201.1 S000002240 YDL082W
NC_001136 NP_010316.1 S000002440 YDR033W
NC_001136 NP_010236.1 S000002205 YDL047W
NC_001136 NP_010263.1 S000002179 YDL021W
NC_001136 NP_010059.1 S000002381 YDL222C
NC_001136 NP_010360.1 S000002482 YDR075W
NC_001136 NP_010164.1 S000002277 YDL119C
NC_001136 NP_010156.2 S000002285 YDL127W
NC_001136 NP_010102.1 S000002338 YDL179W
NC_001136 NP_010108.1 S000002332 YDL173W
NC_001136 NP_010200.1 S000002241 YDL083C
NC_001136 NP_010383.1 S000002505 YDR098C
NC_001136 NP_010145.1 S000002350 YDL191W
NC_001136 NP_010232.1 S000002209 YDL051W
NC_001136 NP_010558.1 S000002680 YDR272W
NC_001136 NP_010197.1 S000002244 YDL086W
NC_001136 NP_010384.1 S000002506 YDR099W
NC_001136 NP_010308.1 S000002432 YDR025W
NC_001136 NP_010090.1 S000002295 YDL136W
NC_001136 NP_010274.1 S000002168 YDL010W
NC_001136 NP_010214.2 S000002227 YDL069C
NC_001136 NP_010290.1 S000002414 YDR007W
NC_001136 NP_010144.1 S000002296 YDL137W
NC_001136 NP_010089.1 S000002296 YDL137W
NC_001136 NP_010089.1 S000002351 YDL192W
NC_001136 NP_010144.1 S000002351 YDL192W
NC_001136 NP_010344.1 S000002466 YDR059C
NC_001136 NP_010165.1 S000002276 YDL118W
NC_001147 NP_014560.1 S000005441 YOL081W
NC_001147 NP_061495.2 S000007526 YOR396W
NC_001147 NP_014933.1 S000005816 YOR290C
NC_001147 NP_014971.1 S000005853 YOR326W
NC_001147 NP_014973.1 S000005855 YOR328W
NC_001147 NP_014796.1 S000005679 YOR153W
NC_001147 NP_014654.1 S000005537 YOR011W
NC_001147 NP_014794.1 S000005677 YOR151C
NC_001147 NP_014729.1 S000005612 YOR086C
NC_001147 NP_014850.1 S000005733 YOR207C
NC_001147 NP_014948.1 S000005831 YOR304W
NC_001147 NP_014752.1 S000005635 YOR109W
NC_001147 NP_014597.1 S000005405 YOL045W
NC_001147 NP_015008.1 S000005890 YOR363C
NC_001147 NP_014557.1 S000005444 YOL084W
NC_001147 NP_014487.1 S000005515 YOL155C
NC_001147 NP_014511.1 S000005490 YOL130W
NC_001147 NP_014776.1 S000005659 YOR133W
NC_001147 NP_014913.1 S000005796 YOR270C
NC_001147 NP_014661.1 S000005544 YOR018W
NC_001147 NP_014838.1 S000005721 YOR195W
NC_001147 NP_014966.1 S000005848 YOR321W
NC_001147 NP_014677.1 S000005560 YOR034C
NC_001147 NP_014943.1 S000005825 YOR299W
NC_001147 NP_014799.1 S000005682 YOR156C
NC_001147 NP_015026.1 S000005908 YOR381W
NC_001147 NP_015010.1 S000005892 YOR365C
NC_001147 NP_014676.1 S000005559 YOR033C
NC_001147 NP_014962.1 S000005844 YOR317W
NC_001147 NP_015029.1 S000005911 YOR384W
NC_001147 NP_014632.1 S000005371 YOL011W
NC_001147 NP_015034.1 S000005916 YOR389W
NC_001147 NP_014538.2 S000005463 YOL103W
NC_001147 NP_014847.1 S000005730 YOR204W
NC_001147 NP_014751.1 S000005634 YOR108W
NC_001147 NP_014835.1 S000005718 YOR192C
NC_001147 NP_014714.1 S000005597 YOR071C
NC_001147 NP_014575.1 S000005427 YOL066C
NC_001147 NP_014485.1 S000005517 YOL157C
NC_001147 NP_014526.1 S000005475 YOL115W
NC_001147 NP_014486.1 S000005516 YOL156W
NC_001147 NP_014586.1 S000005416 YOL055C
NC_001147 NP_015019.1 S000005901 YOR374W
NC_001147 NP_015023.1 S000005905 YOR378W
